entidad_ocurrencia,sexo_cat,edad_anios,grupo_edad,conindig_cat,afromex_cat,nacionalidad_cat,lugar_ocurrencia,area_ur_cat
Aguascalientes,Mujer,50,Adultos (36–59),No indígena,No afromexicana,Mexicana,Vivienda particular,Urbana
Aguascalientes,Hombre,32,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,35,Jóvenes (20–35),No especificada,No especificada,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,48,Adultos (36–59),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,55,Adultos (36–59),No indígena,No afromexicana,Mexicana,Vivienda particular,Rural
Aguascalientes,Hombre,34,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Otro,Urbana
Aguascalientes,Hombre,52,Adultos (36–59),No indígena,No afromexicana,Mexicana,Área comercial o de servicios,Urbana
Aguascalientes,Hombre,23,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,55,Adultos (36–59),No indígena,No afromexicana,Mexicana,Vivienda particular,Urbana
Aguascalientes,Hombre,60,Adultos mayores (60+),No indígena,No afromexicana,Mexicana,Vivienda particular,Urbana
Aguascalientes,Hombre,49,Adultos (36–59),No indígena,No afromexicana,Mexicana,Otro,Urbana
Aguascalientes,Hombre,21,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Se ignora,Rural
Aguascalientes,Mujer,41,Adultos (36–59),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,48,Adultos (36–59),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,25,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,54,Adultos (36–59),No indígena,No afromexicana,Mexicana,Vivienda particular,Urbana
Aguascalientes,Mujer,29,Jóvenes (20–35),No especificada,No especificada,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,44,Adultos (36–59),No especificada,No especificada,Mexicana,Vivienda particular,Urbana
Aguascalientes,Hombre,38,Adultos (36–59),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,26,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,45,Adultos (36–59),No indígena,No afromexicana,Mexicana,Otro,Urbana
Aguascalientes,Hombre,52,Adultos (36–59),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,29,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,41,Adultos (36–59),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,36,Adultos (36–59),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,39,Adultos (36–59),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,18,Adolescentes (10–19),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,50,Adultos (36–59),No indígena,No afromexicana,Mexicana,Otro,Urbana
Aguascalientes,Hombre,36,Adultos (36–59),No indígena,No afromexicana,Mexicana,Vivienda particular,Urbana
Aguascalientes,Mujer,66,Adultos mayores (60+),No especificada,No especificada,Mexicana,Se ignora,Urbana
Aguascalientes,Mujer,41,Adultos (36–59),No indígena,No afromexicana,Mexicana,Otro,Urbana
Aguascalientes,Hombre,32,Jóvenes (20–35),No especificada,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,38,Adultos (36–59),No indígena,No afromexicana,Mexicana,Escuela u oficina pública,Urbana
Aguascalientes,Mujer,24,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Otro,Urbana
Aguascalientes,Hombre,36,Adultos (36–59),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,32,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Vivienda particular,Urbana
Aguascalientes,Hombre,45,Adultos (36–59),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,33,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,44,Adultos (36–59),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
No especificada,Hombre,32,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
No especificada,Hombre,36,Adultos (36–59),No indígena,No afromexicana,Mexicana,Otro,Urbana
Aguascalientes,Hombre,51,Adultos (36–59),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Mujer,36,Adultos (36–59),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,30,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Vivienda particular,Urbana
Aguascalientes,Hombre,30,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,37,Adultos (36–59),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,27,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Vivienda particular,Urbana
Aguascalientes,Hombre,16,Adolescentes (10–19),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,28,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
No especificada,Hombre,24,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,60,Adultos mayores (60+),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,23,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Otro,Urbana
Aguascalientes,Hombre,25,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Área comercial o de servicios,Urbana
Aguascalientes,Hombre,47,Adultos (36–59),No indígena,No afromexicana,Mexicana,Vivienda particular,Rural
Aguascalientes,Hombre,25,Jóvenes (20–35),No especificada,No especificada,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,37,Adultos (36–59),No indígena,No afromexicana,Mexicana,Vivienda particular,Urbana
Aguascalientes,Hombre,45,Adultos (36–59),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Mujer,56,Adultos (36–59),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,44,Adultos (36–59),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,55,Adultos (36–59),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Rural
Aguascalientes,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Aguascalientes,Hombre,30,Jóvenes (20–35),No especificada,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,30,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Área comercial o de servicios,Urbana
Aguascalientes,Hombre,20,Jóvenes (20–35),No especificada,No especificada,Mexicana,Otro,Urbana
Aguascalientes,Hombre,21,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,39,Adultos (36–59),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
No especificada,Hombre,55,Adultos (36–59),No especificada,No especificada,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,28,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,40,Adultos (36–59),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
No especificada,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Aguascalientes,Hombre,42,Adultos (36–59),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,35,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
No especificada,Hombre,31,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,26,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,39,Adultos (36–59),No especificada,No especificada,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,44,Adultos (36–59),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,15,Adolescentes (10–19),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
No especificada,Hombre,41,Adultos (36–59),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
No especificada,Mujer,29,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,23,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Se ignora,Rural
No especificada,Mujer,47,Adultos (36–59),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,57,Adultos (36–59),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
No especificada,Hombre,38,Adultos (36–59),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,30,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,89,Adultos mayores (60+),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,33,Jóvenes (20–35),No especificada,No especificada,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,56,Adultos (36–59),No indígena,No afromexicana,Mexicana,Otro,Rural
Aguascalientes,Hombre,62,Adultos mayores (60+),No indígena,No afromexicana,No especificada,Calle o carretera (vía pública),Urbana
Aguascalientes,Mujer,20,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Otro,Urbana
Aguascalientes,Hombre,25,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Otro,Urbana
Aguascalientes,Hombre,27,Jóvenes (20–35),No especificada,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,32,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,24,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Rural
Aguascalientes,Hombre,27,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Aguascalientes,Hombre,30,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,39,Adultos (36–59),No indígena,No afromexicana,Mexicana,Vivienda particular,Urbana
Aguascalientes,Hombre,59,Adultos (36–59),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,37,Adultos (36–59),No indígena,No afromexicana,Mexicana,Vivienda particular,Urbana
Aguascalientes,Hombre,5,Infancias (1–9),No indígena,No afromexicana,Mexicana,Otro,Urbana
Aguascalientes,Hombre,23,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,30,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Calle o carretera (vía pública),Urbana
Aguascalientes,Hombre,34,Jóvenes (20–35),No indígena,Afromexicana,Mexicana,Vivienda particular,Urbana
Aguascalientes,Hombre,1,Infancias (1–9),No indígena,No afromexicana,Mexicana,Otro,Urbana
Aguascalientes,Mujer,22,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Otro,Urbana
Aguascalientes,Hombre,42,Adultos (36–59),No indígena,No afromexicana,Mexicana,Área industrial (fábrica u obra),Urbana
No especificada,Hombre,32,Jóvenes (20–35),No indígena,No afromexicana,Mexicana,Se ignora,Urbana
Baja California,Mujer,74,Adultos mayores (60+),No indígena,No afromexicana,Mexicana,Vivienda particular,Urbana
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Área industrial (fábrica u obra),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Área industrial (fábrica u obra),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Área comercial o de servicios,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,40,Adultos (36–59),No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Mujer,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
No especificada,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
No especificada,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,No especificado,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Mujer,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,21,Jóvenes (20–35),No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,No especificado,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,No especificado,NA,Edad no especificada,No especificada,No especificada,No especificada,Vivienda particular,No especificada
Baja California,No especificado,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Mujer,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,49,Adultos (36–59),No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Mujer,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,No especificado,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,40,Adultos (36–59),No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
No especificada,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Calle o carretera (vía pública),No especificada
Baja California,Hombre,30,Jóvenes (20–35),No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,No especificado,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,50,Adultos (36–59),No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,30,Jóvenes (20–35),No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,35,Jóvenes (20–35),No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,22,Jóvenes (20–35),No especificada,No especificada,No especificada,Se ignora,Urbana
Baja California,Hombre,40,Adultos (36–59),No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,31,Jóvenes (20–35),No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Mujer,40,Adultos (36–59),No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,30,Jóvenes (20–35),No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,40,Adultos (36–59),No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,39,Adultos (36–59),No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Mujer,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Mujer,35,Jóvenes (20–35),No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,50,Adultos (36–59),No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,NA,Edad no especificada,No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,45,Adultos (36–59),No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,45,Adultos (36–59),No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,40,Adultos (36–59),No especificada,No especificada,No especificada,Se ignora,No especificada
No especificada,Hombre,35,Jóvenes (20–35),No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,45,Adultos (36–59),No especificada,No especificada,No especificada,Se ignora,No especificada
Baja California,Hombre,35,Jóvenes (20–35),No especificada,No especificada,No especificada,Se ignora,No especificada
